t, c	M(t), рад	E(t), рад	Theta(t), рад	
537	0.052069	0.625996	2.62532
538	0.052166	0.62656	2.62579
539	0.0522629	0.627123	2.62626
540	0.0523599	0.627684	2.62674
541	0.0524568	0.628245	2.62721
542	0.0525538	0.628804	2.62767
543	0.0526508	0.629362	2.62814
544	0.0527477	0.629919	2.6286
545	0.0528447	0.630475	2.62907
546	0.0529417	0.631029	2.62953
547	0.0530386	0.631582	2.62999
548	0.0531356	0.632135	2.63044
549	0.0532325	0.632686	2.6309
550	0.0533295	0.633235	2.63135
551	0.0534265	0.633784	2.63181
552	0.0535234	0.634332	2.63226
553	0.0536204	0.634878	2.63271
554	0.0537174	0.635423	2.63315
555	0.0538143	0.635967	2.6336
556	0.0539113	0.63651	2.63404
557	0.0540082	0.637052	2.63449
558	0.0541052	0.637593	2.63493
559	0.0542022	0.638133	2.63537
560	0.0542991	0.638671	2.63581
561	0.0543961	0.639209	2.63624
562	0.0544931	0.639745	2.63668
563	0.05459	0.640281	2.63711
564	0.054687	0.640815	2.63754
565	0.0547839	0.641348	2.63797
566	0.0548809	0.64188	2.6384
567	0.0549779	0.642411	2.63883
568	0.0550748	0.642941	2.63925
569	0.0551718	0.64347	2.63968
570	0.0552688	0.643998	2.6401
571	0.0553657	0.644524	2.64052
572	0.0554627	0.64505	2.64094
573	0.0555596	0.645575	2.64136
574	0.0556566	0.646098	2.64178
575	0.0557536	0.646621	2.64219
576	0.0558505	0.647142	2.64261
577	0.0559475	0.647663	2.64302
578	0.0560445	0.648182	2.64343
579	0.0561414	0.648701	2.64384
580	0.0562384	0.649218	2.64425
581	0.0563353	0.649735	2.64466
582	0.0564323	0.65025	2.64507
583	0.0565293	0.650765	2.64547
584	0.0566262	0.651278	2.64587
585	0.0567232	0.651791	2.64627
586	0.0568202	0.652302	2.64668
587	0.0569171	0.652812	2.64707
588	0.0570141	0.653322	2.64747
589	0.0571111	0.65383	2.64787
590	0.057208	0.654338	2.64826
591	0.057305	0.654845	2.64866
592	0.0574019	0.65535	2.64905
593	0.0574989	0.655855	2.64944
594	0.0575959	0.656359	2.64983
595	0.0576928	0.656861	2.65022
596	0.0577898	0.657363	2.65061
597	0.0578868	0.657864	2.65099
598	0.0579837	0.658364	2.65138
599	0.0580807	0.658863	2.65176
600	0.0581776	0.659361	2.65215
601	0.0582746	0.659858	2.65253
602	0.0583716	0.660354	2.65291
603	0.0584685	0.660849	2.65329
604	0.0585655	0.661344	2.65366
605	0.0586625	0.661837	2.65404
606	0.0587594	0.66233	2.65441
607	0.0588564	0.662821	2.65479
608	0.0589533	0.663312	2.65516
609	0.0590503	0.663802	2.65553
610	0.0591473	0.664291	2.6559
611	0.0592442	0.664779	2.65627
612	0.0593412	0.665266	2.65664
613	0.0594382	0.665752	2.65701
614	0.0595351	0.666238	2.65737
615	0.0596321	0.666722	2.65774
616	0.059729	0.667206	2.6581
617	0.059826	0.667689	2.65846
618	0.059923	0.668171	2.65883
619	0.0600199	0.668652	2.65919
620	0.0601169	0.669132	2.65955
621	0.0602139	0.669611	2.6599
622	0.0603108	0.67009	2.66026
623	0.0604078	0.670568	2.66062
624	0.0605047	0.671044	2.66097
625	0.0606017	0.67152	2.66132
626	0.0606987	0.671996	2.66168
627	0.0607956	0.67247	2.66203
628	0.0608926	0.672943	2.66238
629	0.0609896	0.673416	2.66273
630	0.0610865	0.673888	2.66308
631	0.0611835	0.674359	2.66342
632	0.0612804	0.674829	2.66377
633	0.0613774	0.675298	2.66412
634	0.0614744	0.675767	2.66446
635	0.0615713	0.676235	2.6648
636	0.0616683	0.676702	2.66515
637	0.0617653	0.677168	2.66549
638	0.0618622	0.677633	2.66583
639	0.0619592	0.678098	2.66617
640	0.0620562	0.678562	2.6665
641	0.0621531	0.679025	2.66684
642	0.0622501	0.679487	2.66718
