t, c	M(t), рад	E(t), рад	Theta(t), рад	
402	0.038979	0.0389784	0.448542
403	0.039076	0.0390754	0.44962
404	0.0391729	0.0391723	0.450699
405	0.0392699	0.0392693	0.451777
406	0.0393669	0.0393663	0.452856
407	0.0394638	0.0394632	0.453933
408	0.0395608	0.0395602	0.455011
409	0.0396578	0.0396572	0.456088
410	0.0397547	0.0397541	0.457165
411	0.0398517	0.0398511	0.458242
412	0.0399486	0.0399481	0.459319
413	0.0400456	0.040045	0.460395
414	0.0401426	0.040142	0.461471
415	0.0402395	0.0402389	0.462546
416	0.0403365	0.0403359	0.463622
417	0.0404335	0.0404329	0.464697
418	0.0405304	0.0405298	0.465772
419	0.0406274	0.0406268	0.466846
420	0.0407243	0.0407238	0.467921
421	0.0408213	0.0408207	0.468995
422	0.0409183	0.0409177	0.470069
423	0.0410152	0.0410146	0.471142
424	0.0411122	0.0411116	0.472215
425	0.0412092	0.0412086	0.473288
426	0.0413061	0.0413055	0.474361
427	0.0414031	0.0414025	0.475433
428	0.0415001	0.0414995	0.476506
429	0.041597	0.0415964	0.477577
430	0.041694	0.0416934	0.478649
431	0.0417909	0.0417903	0.47972
432	0.0418879	0.0418873	0.480791
433	0.0419849	0.0419843	0.481862
434	0.0420818	0.0420812	0.482933
435	0.0421788	0.0421782	0.484003
436	0.0422758	0.0422752	0.485073
437	0.0423727	0.0423721	0.486142
438	0.0424697	0.0424691	0.487212
439	0.0425666	0.042566	0.488281
440	0.0426636	0.042663	0.489349
441	0.0427606	0.04276	0.490418
442	0.0428575	0.0428569	0.491486
443	0.0429545	0.0429539	0.492554
444	0.0430515	0.0430509	0.493622
445	0.0431484	0.0431478	0.494689
446	0.0432454	0.0432448	0.495756
447	0.0433423	0.0433417	0.496823
448	0.0434393	0.0434387	0.497889
449	0.0435363	0.0435357	0.498956
450	0.0436332	0.0436326	0.500022
451	0.0437302	0.0437296	0.501087
452	0.0438272	0.0438266	0.502153
453	0.0439241	0.0439235	0.503218
454	0.0440211	0.0440205	0.504282
455	0.044118	0.0441174	0.505347
456	0.044215	0.0442144	0.506411
457	0.044312	0.0443114	0.507475
458	0.0444089	0.0444083	0.508539
459	0.0445059	0.0445053	0.509602
460	0.0446029	0.0446023	0.510665
461	0.0446998	0.0446992	0.511728
462	0.0447968	0.0447962	0.51279
463	0.0448937	0.0448932	0.513852
464	0.0449907	0.0449901	0.514914
465	0.0450877	0.0450871	0.515976
466	0.0451846	0.045184	0.517037
467	0.0452816	0.045281	0.518098
468	0.0453786	0.045378	0.519159
469	0.0454755	0.0454749	0.520219
470	0.0455725	0.0455719	0.521279
471	0.0456694	0.0456689	0.522339
472	0.0457664	0.0457658	0.523398
473	0.0458634	0.0458628	0.524458
474	0.0459603	0.0459597	0.525516
475	0.0460573	0.0460567	0.526575
476	0.0461543	0.0461537	0.527633
477	0.0462512	0.0462506	0.528691
478	0.0463482	0.0463476	0.529749
479	0.0464452	0.0464446	0.530806
480	0.0465421	0.0465415	0.531864
481	0.0466391	0.0466385	0.53292
482	0.046736	0.0467354	0.533977
483	0.046833	0.0468324	0.535033
484	0.04693	0.0469294	0.536089
485	0.0470269	0.0470263	0.537144
486	0.0471239	0.0471233	0.5382
487	0.0472209	0.0472203	0.539255
488	0.0473178	0.0473172	0.540309
489	0.0474148	0.0474142	0.541364
490	0.0475117	0.0475111	0.542418
491	0.0476087	0.0476081	0.543471
492	0.0477057	0.0477051	0.544525
493	0.0478026	0.047802	0.545578
494	0.0478996	0.047899	0.546631
495	0.0479966	0.047996	0.547683
496	0.0480935	0.0480929	0.548736
497	0.0481905	0.0481899	0.549787
498	0.0482874	0.0482868	0.550839
499	0.0483844	0.0483838	0.55189
500	0.0484814	0.0484808	0.552941
501	0.0485783	0.0485777	0.553992
502	0.0486753	0.0486747	0.555042
503	0.0487723	0.0487717	0.556092
504	0.0488692	0.0488686	0.557142
505	0.0489662	0.0489656	0.558191
506	0.0490631	0.0490625	0.559241
507	0.0491601	0.0491595	0.560289
508	0.0492571	0.0492565	0.561338
509	0.049354	0.0493534	0.562386
510	0.049451	0.0494504	0.563434
511	0.049548	0.0495474	0.564481
512	0.0496449	0.0496443	0.565528
513	0.0497419	0.0497413	0.566575
514	0.0498388	0.0498383	0.567622
515	0.0499358	0.0499352	0.568668
516	0.0500328	0.0500322	0.569714
517	0.0501297	0.0501291	0.57076
518	0.0502267	0.0502261	0.571805
519	0.0503237	0.0503231	0.57285
520	0.0504206	0.05042	0.573895
521	0.0505176	0.050517	0.574939
522	0.0506145	0.050614	0.575983
523	0.0507115	0.0507109	0.577027
524	0.0508085	0.0508079	0.57807
525	0.0509054	0.0509048	0.579113
526	0.0510024	0.0510018	0.580156
527	0.0510994	0.0510988	0.581198
528	0.0511963	0.0511957	0.582241
529	0.0512933	0.0512927	0.583282
530	0.0513903	0.0513897	0.584324
531	0.0514872	0.0514866	0.585365
532	0.0515842	0.0515836	0.586406
533	0.0516811	0.0516805	0.587446
534	0.0517781	0.0517775	0.588486
535	0.0518751	0.0518745	0.589526
536	0.051972	0.0519714	0.590566
537	0.052069	0.0520684	0.591605
538	0.052166	0.0521654	0.592644
539	0.0522629	0.0522623	0.593682
540	0.0523599	0.0523593	0.59472
541	0.0524568	0.0524562	0.595758
542	0.0525538	0.0525532	0.596796
